Ticker,Name,PE,RoA,RoE
AEFES,ANADOLU EFES,17.0,0.02791,0.06661
AFYON,AFYON CIMENTO,21.352114,0.04277,0.03132
AGESA,AGESA HAYAT EMEKLILIK,7.0674014,0.01203,0.71497
AHGAZ,AHLATCI DOGALGAZ,28.091955,0.026889998,0.06481
AKBNK,AKBANK,7.257039,0.01842,0.20788
AKCNS,AKCANSA,55.394737,0.03078,0.02796
AKENR,AKENERJI,,-0.01353,-0.30596
AKGRT,AKSIGORTA,4.9935064,0.03894,0.39029
AKSA,AKSA,9.631068,0.03348,0.08351
AKSEN,AKSA ENERJI,61.621624,0.0511,0.02934
AKSGY,AKIS GMYO,4.1237626,0.03384,0.08642
AKSUE,AKSU ENERJI,,-0.0017299999,-0.022230001
AKYHO,AKDENIZ YATIRIM HOLDING,,-0.0137600005,-0.18125999
ALARK,ALARKO HOLDING,34.702797,-0.01611,0.02083
ALBRK,ALBARAKA TURK,1.420965,0.03836,0.61769
ALCAR,ALARKO CARRIER,21.367046,-0.01258,0.20013
ALFAS,ALFA SOLAR ENERJI,,-0.00467,-0.03285
ALGYO,ALARKO GMYO,20.2,0.00754,0.028970001
ALKIM,ALKIM KIMYA,,0.00162,-0.04536
ALKLC,ALTINKILIC GIDA VE SUT,193.2971,0.101289995,0.08474
ANELE,ANEL ELEKTRIK,14.277228,0.02645,0.09752
ANGEN,ANATOLIA TANI VE BIYOTEKNOLOJI,,-0.0070200004,-0.19016
ANHYT,ANADOLU HAYAT EMEK.,11.348651,0.0136,0.50523
ANSGR,ANADOLU SIGORTA,4.3207855,0.093389995,0.45314997
ARASE,DOGU ARAS ENERJI,24.955225,0.13295001,0.08901
ARCLK,ARCELIK,,0.00398,-0.11253
ARDYZ,ARD BILISIM TEKNOLOJILERI,25.72327,0.12669,0.12773
ARENA,ARENA BILGISAYAR,,0.04186,-0.42499
ARSAN,ARSAN HOLDING,,0.00089,-0.05311
ASELS,ASELSAN,51.181404,0.06893,0.13698
ASGYO,ASCE GMYO,,0.0002,-0.034930002
