Ticker,Name,EBIT,EnterpriseValue,EarningsYield,RoC,ROC_Rank,EY_Rank,MF_Score
ATLAS,ATLAS YAT. ORT.,167462123.0,10541445,15.886069035127536,0.459132025282429,14.0,1.0,15.0
BIZIM,BIZIM MAGAZALARI,4190573717.0,3492947456,1.1997242357029032,0.438657825762847,15.0,3.0,18.0
BANVT,BANVIT,7702687965.0,13642569728,0.5646068239762051,0.4344911942739985,16.0,7.0,23.0
DESPC,DESPEC BILGISAYAR,956889998.0,150335088,6.365047646095767,0.3540837480359788,33.0,2.0,35.0
TTKOM,TURK TELEKOM,73599915000.0,275392724992,0.267254390987046,0.5818436445501054,6.0,34.0,40.0
MAVI,MAVI GIYIM,8422396000.0,31237203968,0.2696270770145774,0.4887515538255139,10.0,33.0,43.0
MGROS,MIGROS TICARET,38626638000.0,112983359488,0.3418790003682139,0.3624775476382513,30.0,14.0,44.0
TCELL,TURKCELL,81325860000.0,283222474752,0.287144796934678,0.4166680585341805,20.0,24.0,44.0
HOROZ,HOROZ LOJISTIK,2107474816.0,7516441600,0.2803819850073737,0.4311990990976728,17.0,29.0,46.0
CRFSA,CARREFOURSA,8090223000.0,29715308544,0.2722577484942032,0.4165442597483987,21.0,31.0,52.0
VKGYO,VAKIF GMYO,5358248564.0,5952850944,0.9001146869636788,0.2806040475518007,49.0,5.0,54.0
BRISA,BRISA,11302327500.0,32992911360,0.3425683589021711,0.306667873303305,42.0,13.0,55.0
MACKO,MACKOLIK INTERNET HIZMETLERI,363702722.0,1856175488,0.1959419916658225,0.8243547680499728,3.0,53.0,56.0
BOBET,BOGAZICI BETON SANAYI,2556597175.0,7806064640,0.3275142204049184,0.3136389659328306,40.0,17.0,57.0
RYGYO,REYSAS GMYO,17803151008.0,63226671104,0.2815765988804951,0.3697653635743584,29.0,28.0,57.0
SNGYO,SINPAS GMYO,13175145710.0,31958335488,0.4122600726482492,0.2733500585704313,52.0,10.0,62.0
DAGI,DAGI GIYIM,963579292.0,3611231232,0.2668284665522077,0.3733213115811914,27.0,35.0,62.0
DERIM,DERIMOD,524983339.0,2021667584,0.2596783680733934,0.3913847216102013,26.0,39.0,65.0
ENJSA,ENERJISA ENERJI,38811510000.0,161634353152,0.240119190278207,0.405512235905281,22.0,44.0,66.0
MRGYO,MARTI GMYO,2652986044.0,2479217152,1.0700902266103716,0.2283231088501029,64.0,4.0,68.0
SUWEN,SUWEN TEKSTIL,1103406305.0,6480290304,0.1702711226253113,0.4921906927888287,8.0,63.0,71.0
AEFES,ANADOLU EFES,57868247000.0,276782284800,0.2090749667805329,0.39890391504654,23.0,51.0,74.0
AKENR,AKENERJI,6141263000.0,27832139776,0.2206536417762492,0.3624724888906438,31.0,49.0,80.0
INDES,INDEKS BILGISAYAR,4385245561.0,5756489728,0.7617916070743312,0.1980565302572259,77.0,6.0,83.0
DESA,DESA DERI,1112829287.0,4244890880,0.2621573365391197,0.2927621200208859,46.0,38.0,84.0
SRVGY,SERVET GMYO,6025452211.0,18807574528,0.3203736984814037,0.2243636399468077,67.0,18.0,85.0
VAKKO,VAKKO TEKSTIL,3222389012.0,12822668288,0.2513040920676119,0.2902861148067628,47.0,42.0,89.0
AKSGY,AKIS GMYO,6966589644.0,20573001728,0.3386277674063684,0.2056359940128874,74.0,15.0,89.0
TBORG,T.TUBORG,9238921000.0,48911167488,0.1888918517896082,0.3251121609597305,36.0,55.0,91.0
TTRAK,TURK TRAKTOR,9637800657.0,55525203968,0.1735752409402117,0.3214528261227254,37.0,62.0,99.0
IHEVA,IHLAS EV ALETLERI,300154590.0,855666240,0.3507846587473172,0.1780057791777811,90.0,12.0,102.0
LKMNH,LOKMAN HEKIM SAGLIK,963750178.0,5960630784,0.1616859377680253,0.3142955636604491,39.0,67.0,106.0
YATAS,YATAS,3013111164.0,11335504896,0.2658118179688006,0.2195073494787087,71.0,36.0,107.0
DEVA,DEVA HOLDING,4228424958.0,15527747584,0.2723141225168437,0.1874470697250073,83.0,30.0,113.0
ELITE,ELITE NATUREL ORGANIK GIDA,580581972.0,3674014208,0.1580238777345523,0.2976502753557661,44.0,71.0,115.0
SMART,SMARTIKS YAZILIM,136109280.0,1208227328,0.1126520455594263,1.23557524538272,1.0,115.0,116.0
EDIP,EDIP GAYRIMENKUL,941030964.0,3480253696,0.2703914847016945,0.1852870644707404,85.0,32.0,117.0
FROTO,FORD OTOSAN,79632482000.0,479760744448,0.1659837386062568,0.2611071248221265,53.0,65.0,118.0
USAK,USAK SERAMIK,1231893090.0,4371815936,0.2817806394491353,0.1771859579781066,91.0,27.0,118.0
LOGO,LOGO YAZILIM,1604558000.0,10867690496,0.1476448009437312,0.3256494081086917,35.0,84.0,119.0
KLGYO,KILER GMYO,3497468000.0,8831854592,0.3960060668535065,0.1551158793855785,109.0,11.0,120.0
SILVR,SILVERLINE ENDUSTRI,298554884.0,1023180480,0.2917910279132768,0.1618180569364291,100.0,22.0,122.0
MPARK,MLP SAGLIK,11556546000.0,93908533248,0.1230617240020211,0.419992134786829,18.0,104.0,122.0
CLEBI,CELEBI,5546108094.0,47239327744,0.1174044669741183,0.4618669738149762,13.0,109.0,122.0
PSGYO,PASIFIK GMYO,5123093783.0,21900253184,0.2339285185407288,0.1947448602502323,80.0,46.0,126.0
TABGD,TAB GIDA,7705487557.0,64544649216,0.1193822826616258,0.3921251827623214,25.0,108.0,133.0
OFSYM,OFIS YEM GIDA,1592185068.0,11198563328,0.1421776188039252,0.2971316888365015,45.0,88.0,133.0
CASA,CASA EMTIA PETROL,53136945.0,487029920,0.1091040669534225,0.491122850778438,9.0,124.0,133.0
SOKM,SOK MARKETLER TICARET,9838574655.0,37175128064,0.2646547615938833,0.171425560841762,96.0,37.0,133.0
KUTPO,KUTAHYA PORSELEN,774186765.0,3999488768,0.1935714312274823,0.1947977658758988,79.0,54.0,133.0
GSRAY,GALATASARAY SPORTIF,2753132290.0,17294094336,0.1591949388334827,0.2279423415482789,65.0,70.0,135.0
OYAKC,OYAK CIMENTO,13802177564.0,102604726272,0.1345179512239145,0.2821330098147731,48.0,91.0,139.0
TUREX,TUREKS TURIZM TASIMACILIK,1136622000.0,7384476160,0.1539204644138224,0.2251236809445583,66.0,74.0,140.0
ISGYO,IS GMYO,6353584524.0,21693902848,0.29287420380357,0.1442911484125047,123.0,21.0,144.0
SISE,SISE CAM,62522931000.0,270406270976,0.2312184949495836,0.1707647661089585,97.0,47.0,144.0
GWIND,GALATA WIND ENERJI,1875175396.0,14040287232,0.1335567688192434,0.2525733621162325,55.0,92.0,147.0
HLGYO,HALK GMYO,6771593003.0,29893079040,0.2265271166593081,0.1620540058351106,99.0,48.0,147.0
MNDTR,MONDI TURKEY,1025757632.0,6702263296,0.1530464541153114,0.2209710110045211,70.0,77.0,147.0
KRSTL,KRISTAL KOLA,311302789.0,2028643968,0.1534536340089815,0.2154168558273939,72.0,76.0,148.0
KLKIM,KALEKIM KIMYEVI MADDELER,1874997142.0,15342363648,0.122210448469224,0.3022310932217799,43.0,105.0,148.0
KUVVA,KUVVA GIDA,499666548.0,3802092032,0.1314188462021952,0.2572025212982681,54.0,95.0,149.0
AYEN,AYEN ENERJI,2642694582.0,14983875584,0.1763692288543764,0.1719767632991349,94.0,58.0,152.0
GOODY,GOOD-YEAR,1648985169.0,5256382976,0.313711001753309,0.133342379699201,135.0,19.0,154.0
ANELE,ANEL ELEKTRIK,1387586098.0,5885356544,0.2357692499385811,0.1544837614633159,110.0,45.0,155.0
AFYON,AFYON CIMENTO,1054008253.0,4788172800,0.2201274467370935,0.1572279300973628,105.0,50.0,155.0
UNLU,UNLU YATIRIM HOLDING,527986524.0,2841475328,0.1858142208018496,0.1604446413242279,103.0,56.0,159.0
DYOBY,DYO BOYA,1560755179.0,9541122048,0.1635819320985589,0.1726579185798059,93.0,66.0,159.0
TUPRS,TUPRAS,80853021000.0,394296786944,0.2050562512229732,0.1527124113488231,111.0,52.0,163.0
PINSU,PINAR SU,496488343.0,3330010624,0.1490951228268514,0.1933884613309142,81.0,82.0,163.0
DOHOL,DOGAN HOLDING,12276609000.0,27715575808,0.442949808621923,0.1206499905124044,155.0,9.0,164.0
MTRKS,MATRIKS FINANSAL TEKNOLOJILER,150199218.0,1822419072,0.082417496780894,0.5539597440447763,7.0,157.0,164.0
NTGAZ,NATURELGAZ,1014945360.0,7922265088,0.1281130268586135,0.2228679192256864,68.0,98.0,166.0
BIMAS,BIM MAGAZALAR,48639012000.0,425693118464,0.114258393876558,0.252022815637125,56.0,113.0,169.0
ARCLK,ARCELIK,51065936000.0,211567738880,0.2413692005706234,0.1436495588639897,127.0,43.0,170.0
MIATK,MIA TEKNOLOJI,1690179643.0,18044510208,0.093667249679665,0.398060417294027,24.0,146.0,170.0
EGPRO,EGE PROFIL,2034936230.0,13832335360,0.1471144370808546,0.186214149277864,84.0,86.0,170.0
OSTIM,OSTIM ENDUSTRIYEL YAT,354791996.0,1968490112,0.1802355997813617,0.1500207861279053,114.0,57.0,171.0
MNDRS,MENDERES TEKSTIL,1820112752.0,6411975680,0.2838614559436382,0.1266220891223378,146.0,26.0,172.0
MEGAP,MEGA POLIETILEN,466288472.0,1634386688,0.2852987456540027,0.1262082093108307,148.0,25.0,173.0
DGATE,DATAGATE BILGISAYAR,404281563.0,1345260160,0.3005229583250276,0.1192572046820948,157.0,20.0,177.0
VESBE,VESTEL BEYAZ ESYA,8133371000.0,32061689856,0.2536787997304492,0.1280250862945424,143.0,40.0,183.0
ULUUN,ULUSOY UN SANAYI,2962130972.0,8748588032,0.338583890470704,0.1113954990427005,167.0,16.0,183.0
DARDL,DARDANEL,1537870828.0,8820587520,0.1743501580266617,0.1442627335687592,124.0,60.0,184.0
PCILT,PC ILETISIM MEDYA,418729169.0,2812321536,0.1488909300163322,0.1607565236751116,102.0,83.0,185.0
KFEIN,KAFEIN YAZILIM,192888894.0,1540567424,0.1252063953807191,0.1826559572952336,87.0,100.0,187.0
DZGYO,DENIZ GMYO,495477071.0,1091524608,0.453931196208084,0.1039093876865674,181.0,8.0,189.0
GRSEL,GUR-SEL TURIZM TASIMACILIK,2751889371.0,34122567680,0.0806471950413316,0.3548873355816399,32.0,158.0,190.0
OTKAR,OTOKAR,7966284000.0,71616299008,0.1112356280671543,0.1979449445431014,78.0,117.0,195.0
SANEL,SANEL MUHENDISLIK,72955610.0,730459392,0.0998763391901188,0.2401017739978005,59.0,137.0,196.0
FONET,FONET BILGI TEKNOLOJILERI,223355116.0,3952516864,0.056509592162489,0.906406363056614,2.0,194.0,196.0
ETILR,ETILER GIDA,129931402.0,1270279552,0.1022856754605146,0.2303147720726763,63.0,134.0,197.0
IHGZT,IHLAS GAZETECILIK,298276541.0,1038384064,0.2872506920522232,0.1051565223312685,175.0,23.0,198.0
KATMR,KATMERCILER EKIPMAN,1112846905.0,7537381376,0.1476437040247756,0.1453289959706276,120.0,85.0,205.0
AKCNS,AKCANSA,4840784000.0,39102418944,0.1237975585841035,0.1595699955466084,104.0,102.0,206.0
SEKUR,SEKURO PLASTIK,171259203.0,1356285056,0.1262708029129829,0.1557316573015363,107.0,99.0,206.0
CMBTN,CIMBETON,346391231.0,3148067072,0.1100329894750095,0.171819892281974,95.0,122.0,217.0
SELVA,SELVA GIDA,321981000.0,1892738048,0.1701138730424042,0.120717916570749,154.0,64.0,218.0
GOLTS,GOLTAS CIMENTO,1288658424.0,8380988928,0.1537597096322044,0.1268146650812008,145.0,75.0,220.0
ARSAN,ARSAN HOLDING,857089939.0,4887639040,0.1753586817655012,0.1166135932463391,161.0,59.0,220.0
CIMSA,CIMSA,7928138000.0,75846778880,0.1045283414414131,0.1788429415001115,89.0,131.0,220.0
DERHL,DERLUKS YATIRIM HOLDING,654157636.0,5363301376,0.1219692107788797,0.1477267204560924,117.0,106.0,223.0
TATGD,TAT GIDA,977669102.0,7532615680,0.129791448752102,0.143968454848755,126.0,97.0,223.0
BOSSA,BOSSA,1331972246.0,10113172480,0.1317066675797464,0.1369015646767511,132.0,94.0,226.0
EMNIS,EMINIS AMBALAJ,34390903.0,935807680,0.0367499687542636,0.7967142366014671,4.0,222.0,226.0
HTTBT,HITIT BILGISAYAR,488124617.0,12119127040,0.0402772093558316,0.4660891060671195,12.0,215.0,227.0
KARSN,KARSAN OTOMOTIV,1836741000.0,18317207552,0.1002740726055403,0.173168993495489,92.0,136.0,228.0
DGNMO,DOGANLAR MOBILYA,1040721060.0,6847132160,0.1519937158624962,0.124626529126554,151.0,78.0,229.0
BIOEN,BIOTREND CEVRE VE ENERJI,1049999753.0,12641604608,0.0830590566276315,0.1984362550785599,76.0,156.0,232.0
SASA,SASA POLYESTER,25395839000.0,229752438784,0.110535666713317,0.1495096231652465,115.0,118.0,233.0
MAKTK,MAKINA TAKIM,290828682.0,2876594688,0.1011017239283729,0.1680307822094092,98.0,135.0,233.0
PAGYO,PANORA GMYO,1221253686.0,7597419520,0.1607458536132015,0.1116171288038265,165.0,68.0,233.0
SANFM,SANIFOAM ENDUSTRI,164377483.0,1437704832,0.1143332618360428,0.1450983524096379,122.0,112.0,234.0
MERCN,MERCAN KIMYA,407114779.0,3766479616,0.1080889372852509,0.1563958477474749,106.0,129.0,235.0
YEOTK,YEO TEKNOLOJI ENERJI,1475179749.0,19919306752,0.0740577856130401,0.2228669249346552,69.0,168.0,237.0
