Ticker,LatestQuarter
AEFES,2025-06-30
AFYON,2025-09-30
AGESA,2025-12-31
AHGAZ,2025-09-30
AKBNK,2025-12-31
AKCNS,2025-12-31
AKENR,2025-09-30
AKGRT,2025-12-31
AKSA,2025-12-31
AKSEN,2025-09-30
AKSGY,2025-09-30
AKSUE,2024-12-31
AKYHO,2025-06-30
ALARK,2025-09-30
ALBRK,2025-12-31
ALCAR,2025-09-30
ALFAS,2025-09-30
ALGYO,2025-09-30
ALKIM,2025-09-30
ALKLC,2025-09-30
ANELE,2025-09-30
ANGEN,2025-09-30
ANHYT,2025-12-31
ANSGR,2025-06-30
ARCLK,2025-12-31
ARDYZ,2025-12-31
ARENA,2025-12-31
ARSAN,2025-09-30
ASELS,2025-12-31
ASGYO,2025-06-30
ASTOR,2025-12-31
ATLAS,2025-06-30
ATAGY,2025-09-30
ATEKS,2024-12-31
AVGYO,2025-09-30
AVHOL,2025-09-30
AVOD,2025-09-30
AYEN,2025-09-30
AYGAZ,2025-12-31
BAKAB,2024-12-31
BANVT,2025-06-30
BAYRK,2025-03-31
BERA,2025-09-30
BFREN,2025-09-30
BIMAS,2025-09-30
BIOEN,2025-09-30
BIZIM,2025-09-30
BJKAS,2025-11-30
BOBET,2025-09-30
BOSSA,2025-06-30
BRISA,2025-06-30
BRSAN,2025-09-30
BRYAT,2025-09-30
BSOKE,2025-12-31
BTCIM,2025-12-31
BUCIM,2025-09-30
BVSAN,2025-09-30
CANTE,2025-09-30
CEMAS,2025-09-30
CEMTS,2025-09-30
CEOEM,2025-09-30
CIMSA,2025-06-30
CLEBI,2025-09-30
CMBTN,2025-06-30
CMENT,2025-06-30
COSMO,2024-09-30
CRDFA,2025-03-31
CRFSA,2025-03-31
CUSAN,2025-09-30
CWENE,2025-12-31
DAGI,2025-09-30
DAPGM,2025-09-30
DENGE,2025-09-30
DERHL,2025-12-31
DESA,2025-09-30
DESPC,2025-09-30
DEVA,2025-09-30
DGATE,2025-09-30
DGNMO,2025-09-30
DITAS,2025-09-30
DOCO,2025-12-31
DOHOL,2025-09-30
DURDO,2025-09-30
DYOBY,2025-06-30
DZGYO,2025-09-30
ECILC,2025-09-30
ECZYT,2025-09-30
EDIP,2025-09-30
EGGUB,2025-09-30
EGPRO,2025-09-30
EGSER,2025-09-30
EKGYO,2025-09-30
ELITE,2025-09-30
EMKEL,2025-09-30
ENERY,2025-09-30
ENJSA,2025-03-31
ENKAI,2025-09-30
ERBOS,2024-12-31
ERCB,2025-09-30
EREGL,2025-12-31
ERSU,2025-09-30
ESCAR,2025-09-30
ESCOM,2025-09-30
ESEN,2025-09-30
ETILR,2025-09-30
ETYAT,2025-12-31
EUPWR,2025-12-31
EUREN,2025-09-30
EUYO,2025-12-31
FADE,2025-06-30
FENER,2025-02-28
FLAP,2025-09-30
FMIZP,2025-06-30
FONET,2025-09-30
FORMT,2025-06-30
FORTE,2025-09-30
FROTO,2025-12-31
FZLGY,2025-09-30
GARAN,2025-12-31
GARFA,2025-06-30
GEDIK,2025-09-30
GEDZA,2025-09-30
GENIL,2025-09-30
GENTS,2025-09-30
GEREL,2025-09-30
GESAN,2025-12-31
GIPTA,2025-06-30
GLBMD,2025-09-30
GLYHO,2025-09-30
GMTAS,2025-09-30
GOKNR,2025-09-30
GOLTS,2025-09-30
GOODY,2025-09-30
GOZDE,2025-06-30
GRSEL,2025-09-30
GSDDE,2025-09-30
GSDHO,2025-06-30
GSRAY,2025-08-31
GUBRF,2025-09-30
GWIND,2025-09-30
GZNMI,2025-09-30
HALKB,2025-09-30
HATEK,2025-09-30
HDFGS,2025-06-30
HEDEF,2025-06-30
HEKTS,2025-09-30
HKTM,2025-09-30
HLGYO,2025-09-30
HOROZ,2025-09-30
HTTBT,2025-09-30
HUNER,2025-09-30
HURGZ,2025-09-30
ICBCT,2025-06-30
IEYHO,2024-12-31
IHAAS,2025-12-31
IHEVA,2025-09-30
IHGZT,2025-09-30
IHLAS,2025-09-30
IHLGM,2025-09-30
IHYAY,2025-09-30
IMASM,2025-06-30
INDES,2025-09-30
INFO,2025-09-30
INGRM,2025-09-30
INTEM,2025-06-30
INVEO,2025-09-30
ISATR,2025-12-31
ISCTR,2025-12-31
ISYAT,2025-12-31
ISGYO,2025-06-30
IZFAS,2025-09-30
IZINV,2024-09-30
IZMDC,2025-09-30
JANTS,2025-06-30
KAREL,2025-06-30
KARSN,2025-09-30
KARTN,2025-09-30
KATMR,2025-09-30
KAYSE,2025-10-31
KCAER,2025-09-30
KCHOL,2025-12-31
KFEIN,2025-09-30
KGYO,2025-09-30
KLGYO,2025-06-30
KLKIM,2025-09-30
KLMSN,2025-09-30
KLNMA,2025-12-31
KLRHO,2025-09-30
KLSER,2025-09-30
KMPUR,2025-09-30
KNFRT,2025-09-30
KONKA,2025-06-30
KONTR,2025-12-31
KOPOL,2025-12-31
KORDS,2025-09-30
KRDMA,2025-09-30
KRDMB,2025-09-30
KRDMD,2025-09-30
KRGYO,2025-09-30
KRONT,2025-09-30
KRSTL,2025-09-30
KRTEK,2025-03-31
KRVGD,2025-09-30
KTLEV,2025-12-31
KUTPO,2025-09-30
KUVVA,2025-09-30
LIDER,2025-06-30
LIDFA,2025-09-30
LKMNH,2025-09-30
LOGO,2025-12-31
LRSHO,2025-09-30
LUKSK,2024-12-31
MAALT,2025-09-30
MACKO,2025-06-30
MAGEN,2025-09-30
MAKIM,2025-06-30
MAKTK,2025-06-30
MANAS,2024-09-30
MARBL,2025-09-30
MARTI,2025-09-30
MAVI,2025-10-31
MEDTR,2025-09-30
MEPET,2025-09-30
MERCN,2025-09-30
MERIT,2025-09-30
MERKO,2025-12-31
METRO,2025-06-30
MGROS,2025-09-30
MIATK,2025-09-30
MNDRS,2025-09-30
MOBTL,2025-09-30
MPARK,2025-06-30
MRGYO,2025-12-31
MRSHL,2025-06-30
MSGYO,2025-09-30
MTRKS,2025-09-30
NATEN,2025-09-30
NETAS,2025-09-30
NTGAZ,2025-06-30
NUGYO,2025-09-30
NUHCM,2025-12-31
OBAMS,2025-09-30
OBASE,2025-09-30
ODAS,2025-09-30
ODINE,2025-09-30
OFSYM,2025-09-30
ONCSM,2025-12-31
ORCAY,2025-09-30
ORGE,2025-12-31
OSMEN,2025-09-30
OSTIM,2025-09-30
OTKAR,2025-12-31
OYAKC,2025-09-30
OYAYO,2025-12-31
OZGYO,2025-09-30
OZKGY,2025-09-30
OZSUB,2025-09-30
PAGYO,2025-09-30
PAMEL,2025-09-30
PAPIL,2025-06-30
PARSN,2025-06-30
PASEU,2025-09-30
PCILT,2025-09-30
PEKGY,2025-09-30
PENGD,2025-09-30
PENTA,2025-09-30
PETKM,2025-09-30
PETUN,2025-09-30
PGSUS,2025-09-30
PINSU,2025-09-30
PKENT,2024-12-31
PLTUR,2025-09-30
PNLSN,2025-09-30
POLHO,2025-09-30
PRKAB,2025-09-30
PRKME,2025-09-30
PSDTC,2025-09-30
PSGYO,2025-06-30
RAYSG,2025-06-30
RTALB,2025-06-30
RUBNS,2025-03-31
RYGYO,2025-09-30
SAFKR,2025-09-30
SAHOL,2025-09-30
SANEL,2025-03-31
SANFM,2025-12-31
SASA,2025-06-30
SAYAS,2025-09-30
SDTTR,2025-09-30
SEKFK,2025-09-30
SEKUR,2025-09-30
SELEC,2025-12-31
SELVA,2025-09-30
SEYKM,2025-09-30
SILVR,2025-03-31
SISE,2025-12-31
SKBNK,2025-12-31
SKYLP,2025-09-30
SMART,2025-12-31
SNGYO,2025-09-30
SOKM,2025-06-30
SONME,2025-09-30
SRVGY,2025-09-30
SUMAS,2025-06-30
SURGY,2025-09-30
SUWEN,2025-09-30
TABGD,2025-06-30
TATGD,2025-09-30
TAVHL,2025-12-31
TBORG,2025-09-30
TCELL,2025-09-30
TDGYO,2025-09-30
TEKTU,2025-09-30
TERA,2025-09-30
TEZOL,2025-09-30
THYAO,2025-09-30
TKFEN,2025-09-30
TKNSA,2025-12-31
TLMAN,2025-03-31
TMSN,2025-09-30
TOASO,2025-03-31
TRCAS,2025-06-30
TRGYO,2025-09-30
TRILC,2025-09-30
TSKB,2025-12-31
TSPOR,2024-11-30
TTKOM,2025-06-30
TTRAK,2025-12-31
TUCLK,2025-09-30
TUKAS,2025-06-30
TUPRS,2025-12-31
TURGG,2025-06-30
ULUSE,2025-09-30
ULUUN,2025-09-30
UNLU,2025-09-30
USAK,2025-09-30
VAKBN,2025-09-30
VAKFN,2025-12-31
VAKKO,2025-09-30
VANGD,2025-09-30
VESBE,2025-03-31
VESTL,2025-09-30
VKFYO,2025-06-30
VKGYO,2025-09-30
VKING,2025-09-30
YAPRK,2025-09-30
YATAS,2025-09-30
YAYLA,2025-09-30
YEOTK,2025-09-30
YESIL,2025-06-30
YGYO,2025-09-30
YIGIT,2025-06-30
YKBNK,2025-12-31
YKSLN,2025-12-31
YUNSA,2025-09-30
ZEDUR,2024-12-31
ZOREN,2025-09-30
ZRGYO,2025-12-31
