Rank,Ticker,Name,PE,RoA (%),PE_Rank,RoA_Rank,Magic_Score
1,INVEO,INVEO YATIRIM HOLDING,1.84,35.98,8.0,4.0,12.0
2,ESCOM,ESCORT TEKNOLOJI,3.96,36.58,19.0,3.0,22.0
3,TERA,TERA YATIRIM MENKUL DEGERLER,5.57,66.54,34.0,1.0,35.0
4,MACKO,MACKOLIK INTERNET HIZMETLERI,5.86,42.36,35.0,2.0,37.0
5,HDFGS,HEDEF GIRISIM,7.15,22.31,45.0,9.0,54.0
6,ANSGR,ANADOLU SIGORTA,4.32,9.34,23.0,35.0,58.0
7,GARFA,GARANTI FAKTORING,4.94,9.1,28.0,36.0,64.0
8,ORGE,ORGE ENERJI ELEKTRIK,9.06,21.62,56.0,10.0,66.0
9,TBORG,T.TUBORG,8.33,11.02,51.0,26.0,77.0
10,KTLEV,KATILIMEVIM TAS. FIN.,11.42,26.3,73.0,6.0,79.0
11,NTGAZ,NATURELGAZ,12.06,14.86,77.0,12.0,89.0
12,KRSTL,KRISTAL KOLA,7.22,8.6,47.0,43.0,90.0
13,GLCVY,GELECEK VARLIK YONETIMI,13.94,31.38,90.0,5.0,95.0
14,RAYSG,RAY SIGORTA,10.14,9.66,61.0,34.0,95.0
15,OZSUB,OZSU BALIK,11.17,10.78,68.0,28.0,96.0
16,VAKFN,VAKIF FIN. KIR.,0.54,4.55,3.0,94.0,97.0
17,FONET,FONET BILGI TEKNOLOJILERI,4.01,5.8,20.0,77.0,97.0
18,YBTAS,YIBITAS INSAAT MALZEME,9.37,8.92,59.0,39.0,98.0
19,LOGO,LOGO YAZILIM,8.74,8.33,55.0,45.0,100.0
20,TUREX,TUREKS TURIZM TASIMACILIK,2.62,4.83,10.0,91.0,101.0
21,CLEBI,CELEBI,13.13,12.62,83.0,21.0,104.0
22,SEKFK,SEKER FIN. KIR.,4.54,5.8,26.0,78.0,104.0
23,BRKVY,BIRIKIM VARLIK YONETIM,16.7,22.47,101.0,7.0,108.0
24,MAKTK,MAKINA TAKIM,9.36,8.03,58.0,51.0,109.0
25,KARSN,KARSAN OTOMOTIV,0.01,3.89,1.0,108.0,109.0
